battery_power,bluetooth,clock_speed,dual_sim,fc_megapixel,four_g,int_memory,m_depth,mobile_wt,n_cores,pc_megapixel,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
842,0,2.2,0,1.0,0,7,0.6,188.0,2,2,20,756,2549.0,9,7,19,0,0,1,1
1021,1,0.5,1,0.0,1,53,0.7,136.0,3,6,905,1988,2603.0,17,3,7,1,1,0,2
563,1,0.5,1,2.0,1,41,0.9,141.0,5,6,1263,1716,2603.0,11,2,9,1,1,0,2
615,1,2.5,0,0.0,0,10,0.8,131.0,6,9,1216,1786,2769.0,16,8,11,1,0,0,2
1859,0,0.5,1,3.0,0,22,0.7,164.0,1,7,1004,1654,1067.0,17,1,10,1,0,0,1
1821,0,1.7,0,4.0,1,10,0.8,139.0,8,10,381,1018,3220.0,13,8,18,1,0,1,3
1954,0,0.5,1,0.0,0,24,0.8,187.0,4,0,512,1149,700.0,16,3,5,1,1,1,0
1445,1,0.5,0,0.0,0,53,0.7,174.0,7,14,386,836,1099.0,17,1,20,1,0,0,0
509,1,0.6,1,2.0,1,9,0.1,93.0,5,15,1137,1224,513.0,19,10,12,1,0,0,0
769,1,2.9,1,0.0,0,9,0.1,182.0,5,1,248,874,3946.0,5,2,7,0,0,0,3
1520,1,2.2,0,5.0,1,33,0.5,177.0,8,18,151,1005,3826.0,14,9,13,1,1,1,3
1815,0,2.8,0,2.0,0,33,0.6,159.0,4,17,607,748,1482.0,18,0,2,1,0,0,1
803,1,2.1,0,7.0,0,17,1.0,198.0,4,11,344,1440,2680.0,7,1,4,1,0,1,2
1866,0,0.5,0,13.0,1,52,0.7,185.0,1,17,356,563,373.0,14,9,3,1,0,1,0
775,0,1.0,0,3.0,0,46,0.7,159.0,2,16,862,1864,568.0,17,15,11,1,1,1,0
838,0,0.5,0,1.0,1,13,0.1,141.0,8,4,984,1850,3554.0,10,9,19,1,0,1,3
595,0,0.9,1,7.0,1,23,0.1,121.0,3,17,441,810,3752.0,10,2,18,1,1,0,3
1131,1,0.5,1,11.0,0,49,0.6,101.0,5,18,658,878,1835.0,19,13,16,1,1,0,1
682,1,0.5,0,4.0,0,19,1.0,121.0,4,11,902,1064,2337.0,11,1,18,0,1,1,1
772,0,1.1,1,12.0,0,39,0.8,81.0,7,14,1314,1854,2819.0,17,15,3,1,1,0,3
1709,1,2.1,0,1.0,0,13,1.0,156.0,2,2,974,1385,3283.0,17,1,15,1,0,0,3
1949,0,2.6,1,4.0,0,47,0.3,199.0,4,7,407,822,1433.0,11,5,20,0,0,1,1
1602,1,2.8,1,4.0,1,38,0.7,114.0,3,20,466,788,1037.0,8,7,20,1,0,0,0
503,0,1.2,1,5.0,1,8,0.4,111.0,3,13,201,1245,2583.0,11,0,12,1,0,0,1
961,1,1.4,1,0.0,1,57,0.6,114.0,8,3,291,1434,2782.0,18,9,7,1,1,1,2
519,1,1.6,1,7.0,1,51,0.3,132.0,4,19,550,645,3763.0,16,1,4,1,0,1,3
956,0,0.5,0,1.0,1,41,1.0,143.0,7,6,511,1075,3286.0,17,8,12,1,1,0,3
1453,0,1.6,1,12.0,1,52,0.3,96.0,2,18,187,1311,2373.0,10,1,10,1,1,1,2
851,0,0.5,0,3.0,0,21,0.4,200.0,5,7,1171,1263,478.0,12,7,10,1,0,1,0
1579,1,0.5,1,0.0,0,5,0.2,88.0,7,9,1358,1739,3532.0,17,11,12,0,0,1,3
